Symbol|Issue_Name|Primary_Listing_Mkt
A|Agilent Technologies Inc.|NYSE
AA|Alcoa Corporation|NYSE
AAAIF|Alternative Investment Trust Units (Austrailia)|U
AAALF|Aareal Bank AG AKT|U
AAALY|Aareal Bank AG Unsponsored American Depository Receipt (Germany)|U
AAARF|Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina)|U
AAAU|Perth Mint Physical Gold ETF (Trust)|ARCA
AABB|Asia Broadband Inc Common Stock|U
AABVF|Aberdeen International Inc Ordinary Shares|U
AACAF|AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands)|U
AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|U
AACG|ATA Creativity Global American Depositary Shares|NASDAQ
AACH|AAC HLDGS INC Common Stock|U
AACS|American Commerce Solutions, Inc. Common Stock|U
AACTF|AURORA SOLAR TECHNOLOGIES INC  Common Shares|U
AADR|AdvisorShares Dorsey Wright ADR ETF|ARCA
AAEEF|Altair Res Inc Common Shares|U
AAFGF|Anglo African Oil & Gas Ltd Ordinary Shares (United Kingdom)|U
AAGC|All American Gold Corp. Common Stock|U
AAGEF|AAG Energy Holdings Ltd Ordinary Shares (Cayman Islands)|U
AAGH|America Great Health Common Stock|U
AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|U
AAGRY|Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia)|U
AAHIF|Asahi Co Ltd Osaka Ordinary Shares (Japan)|U
AAIGF|AIA Group, Ltd. Ordinary Shares (Hong Kong)|U
AAIIQ|Alabama Aircraft Industries, Inc. Common Stock|U
AAINF|Asiabasemetals Inc Common Shares|U
AAL|American Airlines Group Inc. Common Stock|NASDAQ
AALBF|Aalberts Industries NV Ordinary Shares (Netherlands)|U
AAMAF|Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British)|U
AAMC|Altisource Asset Mgmt Corp|AMEX
AAME|Atlantic American Corporation Common Stock|NASDAQ
AAMMF|Almadex Minerals Ltd Ordinary Shares (Canada)|U
AAMTF|Armada Mercantile Ltd Ordinary Shares|U
AAN|Aaron's, Inc.|NYSE
AANNF|Aroundtown SA Ordinary Shares (Luxembourg)|U
AAOI|Applied Optoelectronics, Inc. Common Stock|NASDAQ
AAON|AAON, Inc. Common Stock|NASDAQ
AAP|ADVANCE AUTO PARTS INC|NYSE
AAPJ|AAP, Inc. Common Stock|U
AAPL|Apple Inc. Common Stock|NASDAQ
AAPT|All American Pet Company, Inc. Common Stock|U
AASL|America's Suppliers, Inc. Common Stock|U
AASP|All-American SportPark, Inc. Common Stock|U
AASZF|Atlantic Sapphire AS Common Shares|U
AAT|AMERICAN ASSETS TRUST, INC.|NYSE
AATDF|AA LTD Ordinary Shares (United Kingdom)|U
AATGF|ATI Airtest Technologies Inc Ordinary Shares|U
AATP|Agape ATP Corporation Common Stock|U
AATRL|AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037|U
AATV|Adaptive Ad Systems, Inc. NEW Common Stock|U
AAU|Almaden Minerals Ltd.|AMEX
AAUKF|Anglo American plc Ordinary Shares (United Kingdom)|U
AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|U
AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|U
AAVXF|Abivax SA Ordinary Shares (France)|U
AAWC|Alexandria Advantage Warranty Company Common Stock|U
AAWW|Atlas Air Worldwide Holdings NEW Common Stock|NASDAQ
AAXJ|iShares MSCI All Country Asia ex Japan ETF|NASDAQ
AAXN|Axon Enterprise, Inc. Common Stock|NASDAQ
AAXT|Aamaxan Transport Group, Inc. Common Stock|U
AAYYY|Austrailian Agricultural Company Ltd Unsponsored ADR (Austrailia)|U
AB|AllianceBernstein Holding, L.P.|NYSE
ABAHF|Abacus Health Products Inc Common Shares (Canada)|U
ABAKF|ABERDEEN ASIA-PACIFIC INCOME Ordinary Shares|U
ABB|ABB Ltd.|NYSE
ABBAF|Aberdeen Asian Income Fund Ordinary Shares (Jersey)|U
ABBB|Auburn Bancorp, Inc. Common Stock|U
ABBRF|Abraplata Resource Corp Ordinary Shares (Canada)|U
ABBV|ABBVIE INC.|NYSE
ABBY|Abby, Inc  Common Stock|U
ABC|AmerisourceBergen Corp.|NYSE
ABCAF|Athabasca Minerals Inc Common Shares (Canada)|U
ABCB|Ameris Bancorp Common Stock|NASDAQ
ABCE|ABCO Energy, Inc Common Stock|U
ABCFF|Abacus Mining & Exploration Corporation Common Shares|U
ABCP|AmBase Corporation Common Stock|U
ABCZF|Abcam PLC Ordinary Shares (United Kingdom)|U
ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|U
ABDC|Alcentra Capital Corp. Common Stock|NASDAQ
ABDDF|Ab Dynamics PLC Ordinary Shares (United Kingdom)|U
